i,o,d,azimuth,arc,o_area,d_area,grid_dist
360,204,452,102.271,3.31815,1.25895,0.726054,4.50056
361,63,291,128.8,11.9485,2.01899,1.75412,16.6717
362,161,181,154.257,4.3779,2.81618,2.19468,5.063
363,157,54,-71.0594,14.0781,2.53252,2.12283,19.6371
364,435,99,-139.492,18.7563,0.938486,1.04803,26.0193
365,305,346,72.8237,19.3592,1.46521,1.10322,19.7943
366,15,252,64.7353,16.8258,2.01683,2.06265,19.3482
367,127,251,60.3752,19.0128,0.431199,2.17766,23.017
368,61,170,60.4845,15.1456,0.631792,0.560438,18.3017
369,380,54,-18.7334,12.9203,0.897464,2.12283,13.5253
370,178,55,-44.8459,18.6163,0.841034,2.62349,25.3266
371,407,307,16.745,16.3043,0.536268,1.05525,22.5061
372,95,288,82.9845,7.30741,2.22673,1.14456,8.37353
373,69,50,-108.554,1.65902,0.815535,0.834076,1.73593
374,118,430,90.5783,10.9241,1.94024,0.855161,13.6103
375,293,53,-87.8083,12.6823,2.59383,2.26283,16.029
376,330,375,-85.5582,12.3209,0.746428,0.739681,15.8695
377,80,427,158.489,8.90566,1.84221,0.5004,9.72123
378,369,249,50.5228,15.3617,0.435982,1.52047,20.2493
379,448,166,151.786,2.94464,1.17333,0.857722,3.50544
380,222,428,-104.83,19.1943,1.08868,1.51572,19.563
381,417,414,94.6702,5.83908,0.3888,0.836441,7.53688
382,315,82,128.847,11.3597,2.16993,1.05156,15.8443
383,38,105,30.2736,14.4668,1.9737,1.05872,20.4514
384,262,436,-106.444,8.15422,3.08878,1.14058,8.27359
385,118,235,88.9463,15.1301,1.94024,1.39659,18.5512
386,392,275,-53.3024,19.2529,2.221,1.13975,27.0225
387,154,108,-39.2601,9.59174,0.367763,1.97088,12.6159
389,451,307,0.632079,8.11842,1.3233,1.05525,10.0768
390,150,146,-136.533,2.4908,1.81516,2.00477,3.41512
391,200,440,27.1694,12.2288,1.35958,0.664025,17.2797
392,345,376,-104.434,4.24369,0.62956,0.657116,4.36243
393,292,9,-10.2695,8.71681,0.361574,2.0817,9.52098
394,282,284,137.716,3.50515,1.23016,0.522377,4.69936
395,358,216,66.8511,14.9218,0.894648,1.55574,16.7145
396,98,399,-170.534,11.0241,1.31794,1.42578,14.6742
397,181,209,50.8724,4.46875,2.19468,1.63418,5.87814
398,127,329,80.6227,7.24776,0.431199,0.651551,8.04505
399,39,442,74.132,8.38822,1.10933,1.03723,8.42534
400,59,402,64.3931,17.7539,1.29884,0.64215,20.5125
401,70,370,-12.1553,8.72006,1.2516,0.921297,9.27223
402,340,173,33.6173,17.1436,0.615105,1.51741,24.1705
403,446,431,26.0843,11.0523,1.1571,0.860499,15.6036
404,225,304,-134.904,31.5165,1.70418,1.70634,42.899
405,105,37,-141.578,10.8988,1.05872,1.88734,15.2133
406,203,366,-153.093,19.4091,1.07847,0.411545,27.4198
407,125,1,-160.052,8.24593,2.08132,0.667705,11.5064
408,307,203,71.8776,2.49765,1.05525,1.07847,2.60129
409,256,298,-64.4118,11.1763,2.46133,0.995029,15.8037
410,303,191,62.2761,22.2952,1.72993,2.08683,26.4057
411,173,411,-165.763,17.0954,1.51741,0.38225,23.3443
412,123,377,-58.0588,2.47489,0.710437,0.751816,3.50099
413,217,320,-121.334,30.2849,0.925552,2.87325,37.3469
414,415,133,-25.9502,4.56119,0.380204,1.10109,5.28608
415,344,28,-86.8489,6.87717,0.800883,1.11409,8.7702
416,210,320,-118.026,28.1992,1.37166,2.87325,33.5859
417,17,28,-6.06171,10.3897,2.54829,1.11409,12.0139
418,364,267,48.7003,23.8621,0.308877,2.46927,31.8265
419,171,247,60.7779,10.1065,2.37226,1.26248,12.1902
420,167,118,-18.5418,16.475,0.635606,1.94024,17.2143
421,91,398,-139.043,5.75221,0.695919,1.57458,7.96364
422,377,398,-131.309,7.29671,0.751816,1.57458,9.72886
423,245,145,-139.217,19.9068,0.875738,0.418405,27.5954
424,270,410,-141.879,23.353,2.4,0.371697,32.6427
425,175,308,15.8314,7.40707,2.4046,1.93637,10.1862
426,213,447,-41.963,4.62321,1.57228,1.37388,6.19149
427,309,282,-140.514,18.3797,2.07309,1.23016,25.5833
429,432,450,-143.008,9.4712,0.720339,1.27784,13.2732
430,239,150,-105.475,12.262,2.72185,1.81516,12.3533
432,315,283,74.0319,12.1956,2.16993,1.97874,12.2361
433,415,287,-12.7083,10.6523,0.380204,2.13127,11.2178
435,332,399,-120.419,10.8408,0.341666,1.42578,13.2366
436,19,279,86.763,27.6118,2.11967,1.53179,33.1164
437,412,277,-75.6053,17.4883,0.634269,2.06588,23.9751
438,393,132,146.879,2.02998,1.31808,0.753028,2.53986
439,238,235,5.32502,8.88468,1.17442,1.39659,11.4783
440,141,39,-69.863,11.729,0.499072,1.10933,16.4189
441,84,2,-95.7174,31.9212,2.02414,1.51429,37.0903
442,23,256,73.7179,29.9005,1.4537,2.46133,30.1116
443,14,267,77.6794,33.7818,1.64898,2.46927,35.9732
444,197,191,-169.426,10.8526,0.83963,2.08683,14.5331
445,56,72,173.728,17.3478,1.78471,0.812467,20.0044
446,311,58,-120.633,22.3365,1.56009,1.69359,27.3501
447,40,453,86.7595,29.0482,2.27091,1.82795,34.8321
448,173,427,-151.904,18.2325,1.51741,0.5004,25.7749
449,370,34,-32.3856,1.88494,0.921297,2.26404,2.34051
450,425,317,-55.5534,17.6025,0.521493,2.50369,24.8181
451,62,158,58.1612,18.9997,1.69933,0.870327,23.5078
452,137,30,-119.283,13.2883,1.88054,2.54249,16.0318
453,98,335,161.893,5.22942,1.31794,0.429591,5.41968
454,335,49,-37.6168,11.1402,0.429591,2.11431,14.4729
455,437,231,-15.401,0.866581,1.07266,0.854883,0.871838
456,232,428,-107.911,20.8017,1.32529,1.51572,21.6029
457,204,155,-140.749,10.0441,1.25895,1.7136,13.9916
458,410,159,2.4036,16.9086,0.371697,1.83512,21.3389
459,202,84,73.9117,7.4502,1.93161,2.02414,7.50215
460,290,27,-89.1408,13.4197,2.51167,2.13493,16.7589
461,401,306,-98.3525,14.5399,0.703904,0.696683,16.3494
462,186,193,21.947,3.10464,1.17155,1.10524,4.35374
463,356,85,-36.5037,14.9999,1.09758,3.06446,19.3292
464,283,226,97.9114,15.2822,1.97874,1.85914,20.205
465,413,87,-56.722,17.2612,1.40223,1.61365,24.3841
466,309,117,-152.306,21.3783,2.07309,0.856662,30.2166
467,135,400,-115.999,12.794,0.487222,1.01401,14.8665
468,79,236,68.7587,21.035,0.655888,1.59041,22.9308
469,194,448,-153.604,10.8888,0.952134,1.17333,15.3767
470,267,382,-124.728,22.8538,2.46927,0.749775,29.0897
471,340,284,110.119,1.85673,0.615105,0.522377,2.59929
472,54,144,135.547,13.8135,2.12283,0.987665,18.7417
473,370,381,102.507,9.39307,0.921297,0.856569,12.7658
474,17,282,29.7686,12.8405,2.54829,1.23016,18.1547
475,261,418,-127.731,21.9146,2.80345,0.416824,28.5596
476,93,286,22.208,7.8117,0.931073,2.28737,10.9631
477,182,36,-122.524,21.3947,1.96792,1.37207,26.6752
478,417,37,-107.071,11.8575,0.3888,1.88734,12.1252
479,306,137,29.6039,16.0055,0.696683,1.88054,22.6308
480,4,197,71.8627,25.6009,0.971957,0.83963,26.5854
481,32,18,-30.5445,4.73355,1.66754,1.84612,5.77037
482,402,58,-107.584,17.5432,0.64215,1.69359,18.1097
