i,o,d,azimuth,arc,o_area,d_area,grid_dist,o_km_from_sub,d_km_from_sub,crosses_sub,real_flow,weight
43654,90,9,73.9307,3.47927,1.73222,2.0817,3.49512,1.06682,1.25878,TRUE,35.3364,4.591810403360556e-5
56906,54,55,72.3389,2.28738,2.12283,2.62349,2.35874,5.54569,4.37765,FALSE,25.2774,8.896104634634299e-5
3284,203,138,-132.346,13.360900000000001,1.07847,1.70384,17.9394,4.96176,0.0365006,FALSE,0,2.8484780427758264e-6
169208,188,130,-120.888,8.0814,0.687633,2.22652,9.91858,3.77018,5.06918e-4,FALSE,23.8973,4.858511100124323e-6
167965,293,182,138.901,4.22705,2.59383,1.96792,5.62875,3.85785,3.93212,FALSE,6.34793,3.718558734360771e-5
156921,53,134,62.4149,11.0154,2.26283,2.50664,13.03,4.52608,2.96603,FALSE,0,1.4607108949472463e-5
4766,114,15,-102.456,19.5086,1.6684,2.01683,20.6776,2.99795,4.5956,TRUE,0,3.9954625736423e-6
131710,7,63,77.0482,5.67841,2.64471,2.01899,5.9875,9.18427,4.52932,FALSE,15.3749,3.568564458436454e-5
14384,179,449,-52.6722,3.10867,1.13492,1.67726,4.35717,1.59154,4.04424,FALSE,6.05921,1.8574673310340742e-5
54612,230,256,96.1864,3.97922,1.57041,2.46133,5.19245,1.25456,4.58466,FALSE,31.4562,3.0953950823789494e-5
142658,164,346,122.253,3.33778,1.78883,1.10322,4.72055,2.79482,1.57285,FALSE,11.5978,1.7519261907982924e-5
92477,286,287,72.4937,1.33479,2.28737,2.13127,1.37425,2.03132,0.953222,FALSE,32.2049,8.578959096962202e-5
57008,282,293,50.9524,10.5707,1.23016,2.59383,13.8871,2.1733,3.85785,TRUE,16.7838,7.337991221371785e-6
41210,255,84,-178.41,2.06038,2.49985,2.02414,2.57861,3.81247,3.84962,FALSE,16.1398,7.869711637790924e-5
