Itineraries:
a: {w134,s3177,r47,s3180,w54,s9600,r506,s9614,w583}
b: {w134,s3177,r47,s3184,w57,s14477,r2,s14482,w828}
c: {w838,s9600,r506,s9614,w583}

depart,a,a_pre_board,b,b_pre_board,c,c_pre_board
1510058580,38.55,5.574,31.857,5.574,38.55,11.711
1510058640,37.55,4.574,30.857,4.574,37.55,10.711
1510058700,36.55,3.574,29.857,3.574,42.733,16.743
1510058760,35.55,2.574,28.857,2.574,41.733,15.743
1510058820,40.733,6.969,34.907,6.969,40.733,14.743
1510058880,39.733,5.969,33.907,5.969,39.733,13.743
1510058940,38.733,4.969,32.907,4.969,38.733,12.743
1510059000,37.733,3.969,31.907,3.969,37.733,11.743
1510059060,36.733,2.969,30.907,2.969,36.733,10.743
1510059120,35.733,1.969,29.907,1.969,38.175,14.414
1510059180,37.175,5.132,31.257,5.132,37.175,13.414
1510059240,36.175,4.132,30.257,4.132,36.175,12.414
1510059300,35.175,3.132,29.257,3.132,35.175,11.414
1510059360,34.175,2.132,28.257,2.132,34.175,10.414
1510059420,33.175,4.852,29.607,4.852,38.928,13.583
1510059480,32.175,3.852,28.607,3.852,37.928,12.583
1510059540,31.175,2.852,27.607,2.852,36.928,11.583
1510059600,30.175,1.852,26.607,1.852,35.928,10.583
1510059660,34.928,4.856,32.657,4.856,38.682,15.388
1510059720,33.928,3.856,31.657,3.856,37.682,14.388
1510059780,32.928,2.856,30.657,2.856,36.682,13.388
1510059840,31.928,1.856,29.657,1.856,35.682,12.388
1510059900,34.682,7.287,33.357,7.287,34.682,11.388
1510059960,33.682,6.287,32.357,6.287,37.784,11.13
1510060020,32.682,5.287,31.357,5.287,42.906,16.91
1510060080,31.682,4.287,30.357,4.287,41.906,15.91
1510060140,30.682,3.287,29.357,3.287,40.906,14.91
1510060200,29.682,2.287,28.357,2.287,39.906,13.91
1510060260,38.906,5.819,32.057,5.819,38.906,12.91
1510060320,37.906,4.819,31.057,4.819,37.906,11.91
1510060380,36.906,3.819,30.057,3.819,36.906,10.91
1510060440,35.906,2.819,29.057,2.819,45.165,19.234
1510060500,34.906,1.819,28.057,1.819,44.165,18.234
1510060560,33.906,3.108,29.407,3.108,43.165,17.234
1510060620,32.906,2.108,28.407,2.108,42.165,16.234
1510060680,41.165,6.757,32.107,6.757,41.165,15.234
1510060740,40.165,5.757,31.107,5.757,40.165,14.234
1510060800,39.165,4.757,30.107,4.757,39.165,13.234
1510060860,38.165,3.757,29.107,3.757,38.165,12.234
1510060920,37.165,2.757,28.107,2.757,37.165,11.234
1510060980,36.165,1.757,27.107,1.757,45.601,16.94
1510061040,44.601,7.664,35.507,7.664,44.601,15.94
1510061100,43.601,6.664,34.507,6.664,43.601,14.94
1510061160,42.601,5.664,33.507,5.664,42.601,13.94
1510061220,41.601,4.664,32.507,4.664,41.601,12.94
1510061280,40.601,3.664,31.507,3.664,40.601,11.94
1510061340,39.601,2.664,30.507,2.664,39.601,10.94
1510061400,38.601,5.031,31.857,5.031,44.641,16.244
